HOMO-LUMO gap (Eh),Metal center charge,Denticity,Isomer
0.2719858805485246,0.111637,0,0
0.0437448827615521,0.109531,0,0
0.240885167589662,0.1400969999999999,0,0
0.321908381769773,0.1127049999999999,0,0
0.3053610477115651,0.0990099999999999,0,0
0.1055098048918359,0.1206569999999999,0,0
0.422877848137153,0.088341,0,0
0.1290039999999999,0.3452368376585714,1,1
0.1100129999999999,0.3755695777294441,1,2
0.122672373607049,0.157282,0,0
0.1406498060972767,0.154653,0,0
0.3483967348811753,0.135927,0,0
0.2607706600486718,0.123607,0,0
0.105762257093492,0.146203,0,0
0.150455,0.0176059007623042,1,1
0.173842,0.2700956713334148,1,1
0.0006314481372216,0.143122,0,0
0.3202101269911049,0.123221,0,0
-0.0185415304109847,0.16002,0,0
0.3179439064732638,0.177267,0,0
