Encoded SMILES,log P,Exact cone angle ($^\circ$)
[Be]=[C]1N(C)C=CN1Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.8939099999999993,162.79419554164735
[Li]<-[Se](c1ccccc1)c1ccccc1,1.3416000000000001,144.9416953062101
[Li]<-P12CN3CN(CN(C3)C1)C2,0.1600999999999999,112.56547903286918
[Li]<-P(c1ccccc1-c1ccccc1)(C(C)(C)C)C(C)(C)C,6.057800000000006,226.35317023666144
[Li]<-p1(-c2ccccc2)c2ccccc2c2ccccc21,5.9688000000000025,139.70591857685628
[Li]<-N1CCSCC1,0.3228,135.89741272589097
[Li]<-n1c[nH]c2ccccc21,1.5629,139.12895438685618
[Li]<-P(c1cccc(C)c1)(c1cccc(C)c1)c1cccc(C)c1,4.370060000000003,162.92309162737536
[Li]<-n1ccccc1N,0.6638000000000001,153.7093809605652
[Li]<-P(CCC)(CCC)CCC,3.6983000000000024,155.96982311494654
[Li]<-N(CCO)CCO,-1.4394,180.20518831937727
[Li]<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1,3.3260000000000014,131.53957063558116
[Li]<-n1ccc(C)nc1,0.7850199999999999,124.38102414509808
[Be]=[C]1N(C)C=CN1C,0.33109,165.70437958131637
[Li]<-N12CCCCC1C1CC(C2)C2CCCCN2C1,2.3451000000000004,234.99950114784585
[Be]=[C]1N(c2ccccc2)C=CN1C(C)C,2.684490000000001,182.41925826315492
[Be]=[C]1N(C)C(C)=C(C)N1C,1.11129,176.5229621359562
[Li]<-n1ccccn1,0.4765999999999999,107.23190419661216
[Be]=[C]1Nc2ccccc2N1,1.52029,111.40644392819952
[Li]<-n1ccc(N(C)C)cc1,1.1476,123.9130279990428
[Li]<-NCCc1ccccc1,1.1878,125.45891907784011
[Li]<-[As](C=C)(C1CCCCC1)C1CCCCC1,4.875000000000004,153.75660497945228
[Li]<-S=C(NN=C(C)c1cccc[n+]1[O-])N(C)C,0.48009999999999997,197.28732184014183
[Be]=[C]1N(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)CCN1c1cc(C(C)(C)C)cc(C(C)(C)C)c1,8.199490000000008,236.48143176165163
[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C,0.09201999999999994,142.89776052114965
[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C,0.09201999999999994,142.72408829018212
[Be]=[C](NN)NC(C)(C)C,-0.16591000000000045,168.51459372929875
[Li]<-S=c1[nH]ccn1-c1ccccc1,2.5348900000000008,139.32865384988816
[Li]<-P1=Cc2ccccc2C1=P(c1ccccc1)(c1ccccc1)c1ccccc1,5.268800000000005,158.06633324222338
[Li]<-P(CCOC)(c1ccccc1)c1ccccc1,2.7657000000000007,153.82524590723588
[Li]<-NC(C)c1ccccc1,1.7063000000000001,131.52425452095207
[Be]=[C]1N(c2c(C)cc(C)cc2C)CCCCN1c1c(C)cc(C)cc1C,5.640210000000006,225.04812357813398
[Li]<-n1nnn(N)c1N,-2.0309,132.90144988581332
[Be]=[C]1SC=CN1C,1.13249,153.7824239839442
[Be]=[C]1N(Cc2cccc3cccnc23)C=CN1C(C)(C)C,3.6183900000000024,225.0493369952168
[Be]=[C]1N(CCCC)c2ccccc2N1Cc1ccc([N+](=O)[O-])cc1,4.2177900000000035,186.1176994609824
[Li]<-NCCCC,0.7452000000000001,110.80258503298009
[Li]<-P(c1ccc(C2OCCCO2)cc1)(C(C)C)C(C)C,4.046100000000004,166.66666474173007
[Li]<-S=CC=C(SCC)SCC,3.333700000000002,160.87674414903233
[Li]<-O=Cc1c(C)cc(C)cc1C,2.424360000000001,116.40392942745834
[Li]<-P(F)(F)N(CCCl)CCCl,2.9319000000000015,147.03233314547128
[Li]<-n1cnn(C)c1,-0.18490000000000006,120.36739196934593
[Li]<-n1[nH]pc(C)c1CC,1.86062,156.06205335375938
