HOMO-LUMO gap (Eh),Metal center charge,Denticity,Isomer
0.106328,0.3946918839183506,1,2
0.093232,0.3644789990357849,1,1
0.171153,-0.0150630346475047,1,2
0.147828,0.1173305678658797,1,2
0.137408,0.2652019103609067,1,2
0.060867,0.0409097634600825,1,1
0.1075069999999999,0.1530245888109856,1,2
0.1342259999999999,0.2780563885591713,1,1
0.0808539999999999,0.4377267240437097,1,1
0.11367,0.0626241714142181,1,2
0.115494,0.135243408374869,1,1
0.133454,0.2232058392635505,1,2
0.1295439999999999,0.2504379527960346,1,1
0.1053069999999999,0.2287365604629677,1,2
0.111514,0.2522866455595519,1,1
0.162062,0.0644179409809855,1,2
0.094864,0.1460686577707831,1,2
0.104689,0.3593047990989285,1,2
0.063117,0.1535082844167587,1,2
0.109072,0.3547628608801926,1,1
0.0953489999999999,0.2641848977052266,1,2
0.1188019999999999,0.2899116004743572,1,2
0.0851909999999999,0.2766161167780996,1,2
0.1250649999999999,0.2406178217984818,1,1
0.091704,0.3268395022431776,1,1
0.1079959999999999,0.1850079797289267,1,1
0.128408,0.3694080888639454,1,1
0.1084209999999999,0.2531448165450202,1,2
0.099784,0.3386354473742176,1,1
0.177319,0.0537802456818399,1,1
0.1042129999999999,0.3420944363165842,1,1
0.09759,0.4556094302592672,1,1
0.105238,0.1327206554603366,1,1
0.103903,0.2502275762001764,1,2
0.134314,0.0702822834595369,1,2
0.0961259999999999,0.3358643090350955,1,1
0.113633,0.1332099931616649,1,1
0.156713,0.1158323338490465,1,1
0.1340049999999999,0.2600888398307927,1,1
0.128958,0.2626058746614703,1,2
0.124351,0.3905488057305032,1,2
0.1174149999999999,0.2754623655715788,1,1
0.101186,0.4239778959498154,1,1
0.101968,0.331249800114851,1,2
0.122266,0.2855964732885685,1,2
0.124054,0.2532554043166451,1,2
0.139206,0.1220734925413305,1,2
0.109924,0.3243123263692396,1,2
0.151327,0.1158991079781112,1,1
0.100626,0.3231532673937865,1,2
0.141991,0.1370644853029266,1,2
0.1318679999999999,0.2584709423135154,1,2
0.1296339999999999,0.2676296496864997,1,1
0.136177,0.323776412275413,1,2
0.117925,0.0553307006822341,1,1
0.091095,0.3970611361425082,1,2
0.104213,0.2250734604807776,1,2
0.087226,0.3507605282772255,1,1
0.13351,0.1452334130247531,1,1
0.119247,0.2453798001980167,1,2
0.1289919999999999,0.236871514081919,1,1
0.134462,0.0920637119821043,1,2
0.080622,0.3922613939171531,1,1
0.1548719999999999,0.1592208347773252,1,1
0.1651139999999999,0.1179422786878877,1,1
0.0876029999999999,0.3662025329736952,1,1
0.162885,0.1637833965888641,1,2
0.140124,0.1415127519563871,1,1
0.092976,0.3551598184095121,1,1
0.113954,0.3118771454051422,1,2
0.1083519999999999,0.338499056556654,1,1
0.1116069999999999,0.1335817532506351,1,1
0.078099,0.4043622160496285,1,2
0.105017,0.3482781567149333,1,2
0.124835,0.3548925733581068,1,2
0.175581,0.2132601668556198,1,1
0.089871,0.3518433334843252,1,2
0.1248689999999999,0.2742600279919321,1,1
0.1186359999999999,0.2337397269748375,1,2
0.097892,0.1608040063557466,1,2
0.1111989999999999,0.2979730293142705,1,2
0.132515,0.2583295425748718,1,1
0.1313359999999999,0.2458480031583106,1,1
0.142073,0.2713126087569992,1,1
0.0770589999999999,0.3292371359715026,1,1
0.086762,0.3223013046763306,1,1
0.0933639999999999,0.1323208134564633,1,1
0.1383779999999999,-0.0122201361427656,1,1
0.08121,0.455343075061739,1,2
0.123553,0.1269540746548086,1,2
0.090926,0.3329107948201769,1,2
0.125974,0.3011589757715462,1,2
0.118621,0.1160824154867041,1,2
0.1151079999999999,0.1154246925848134,1,2
0.118889,0.2618516708031121,1,2
0.098707,0.3157020057388084,1,2
0.057825,0.1511820214757673,1,1
0.1046189999999999,0.1278441921586559,1,2
0.1142469999999999,0.3500400300144268,1,1
0.114891,0.2324242836042169,1,2
0.124053,0.1887343865698628,1,2
0.101322,0.3722461170387976,1,1
0.15258,0.007669905099393,1,2
0.1088529999999999,0.1658970564422178,1,1
0.062676,0.0968343421022162,1,2
0.126024,0.2917587290647068,1,1
0.1021699999999999,0.3484116145024349,1,1
0.107093,0.3402543500399703,1,1
0.1510739999999999,0.4729147810005546,1,2
0.148897,0.1161624828829704,1,2
0.075645,0.3104014434624316,1,2
0.0928459999999999,0.3539704998368864,1,2
0.13118,0.2484386733983329,1,1
0.129158,0.2409819722858333,1,1
0.0934079999999999,0.3126108674502081,1,1
0.143948,0.350803818442189,1,2
0.1199229999999999,0.227111998967417,1,2
0.125116,0.095329563437516,1,2
0.087341,0.3361824501731559,1,1
0.121923,0.2368810572028754,1,2
0.167111,0.0981947290743048,1,1
0.0725529999999999,0.37076468885015,1,1
0.1381089999999999,0.3642471662992211,1,1
0.129409,0.1438450756459998,1,2
0.125576,0.2534039343607274,1,2
0.08712,0.3946090288900122,1,2
