log P,Ligand coordination bulkiness (Å$^3$)
3.181000000000001,7.604689973726825
2.635300000000001,7.604689973726825
2.23102,7.604689973726825
3.1347000000000014,7.265125695775816
2.4884400000000007,8.808950402442093
3.1599200000000014,6.26506460075368
1.7753499999999998,6.800773168834016
1.5566199999999997,7.604689973726825
0.0371,7.604689973726825
0.66892,6.336420641892215
1.7948,7.604689973726825
3.3339200000000018,7.140337446785025
2.718300000000001,3.9271332358542037
2.43069,6.675984919843224
1.5779900000000002,6.675984919843224
0.7904900000000001,6.800773168834016
1.57957,4.961994799897705
2.652300000000001,7.389913944766607
2.971300000000001,7.604689973726825
2.5493200000000007,7.604689973726825
3.963300000000001,7.604689973726825
1.2417,7.604689973726825
3.543200000000001,7.604689973726825
2.8047200000000005,7.0155491977942335
3.4856000000000025,7.604689973726825
2.951200000000001,7.604689973726825
2.7690400000000013,7.604689973726825
2.8928800000000017,1.8387783689363106
2.693990000000001,6.675984919843224
1.5349499999999998,6.675984919843224
1.82499,6.675984919843224
4.102700000000001,8.122734413513578
2.48461,1.8387783689363106
1.91537,4.961994799897705
2.8843900000000016,6.675984919843224
2.07509,6.675984919843224
1.4305,5.765911604790515
2.866860000000001,7.729478222717616
2.10409,6.675984919843224
0.81599,6.800773168834016
3.025100000000002,1.8387783689363106
3.5962000000000023,7.265125695775816
2.6800900000000007,6.675984919843224
1.6021,7.604689973726825
2.47393,6.675984919843224
1.1247000000000005,7.604689973726825
2.1739,7.265125695775816
2.6525000000000007,8.979115815721336
3.091420000000001,9.318680093672345
2.521100000000001,2.0883548669178933
3.8652000000000015,9.318680093672345
2.457990000000001,6.970172033505783
1.8467,1.963566617927102
1.9051,7.265125695775816
0.7602,2.0883548669178933
2.77714,7.604689973726825
3.068860000000001,7.604689973726825
2.57892,7.604689973726825
3.926180000000001,3.6775567378726213
3.629200000000001,1.963566617927102
1.798,5.176770828857923
3.140620000000001,9.318680093672345
2.5276000000000005,7.604689973726825
2.9792000000000014,7.604689973726825
4.637700000000003,5.765911604790515
1.93483,6.675984919843224
4.038090000000002,3.6775567378726213
2.764710000000001,8.979115815721336
4.269200000000002,3.9271332358542037
2.951200000000001,7.604689973726825
2.785470000000001,5.4263473268395055
3.7120000000000015,1.8387783689363106
4.196100000000003,5.516335106808932
-1.0554999999999994,7.140337446785025
4.113840000000002,7.604689973726825
2.24214,8.979115815721336
1.0275,8.344597875500293
1.59822,7.604689973726825
3.289240000000002,7.604689973726825
1.6205,7.389913944766607
2.6386900000000013,6.675984919843224
3.335600000000001,3.612781286145805
2.2872000000000003,7.604689973726825
1.61109,6.675984919843224
1.93749,6.800773168834016
2.1657,5.00660541557868
4.147360000000004,4.051921484844995
1.4801,10.817894184657646
1.3199,7.604689973726825
2.998240000000001,1.8387783689363106
3.1636900000000017,6.675984919843224
4.203220000000002,3.6775567378726213
3.437800000000001,4.881817166587889
2.0648,7.604689973726825
3.198220000000002,7.604689973726825
3.552640000000001,2.0883548669178933
2.9355,7.0155491977942335
2.9948200000000007,12.32894998555188
2.5967,10.61495986560636
2.03369,6.675984919843224
3.4711000000000025,7.604689973726825
2.3629000000000007,1.8387783689363106
4.2573000000000025,8.55937390446051
1.2627899999999996,8.005033597549284
3.831400000000002,4.051921484844995
2.839940000000001,7.604689973726825
3.9898200000000026,3.6775567378726213
4.271720000000002,9.318680093672345
3.884400000000003,4.051921484844995
-1.0995099999999995,8.5495637578009
2.18844,8.854327566730545
1.81409,6.675984919843224
3.599820000000002,7.0155491977942335
2.18542,12.204161736561089
1.64342,6.675984919843224
2.4208000000000007,7.924855964239468
2.9487900000000016,6.675984919843224
2.3562700000000003,6.675984919843224
2.3963,8.514763288779536
3.4856000000000016,7.604689973726825
3.3179000000000016,1.8387783689363106
2.753800000000001,1.4992140909853016
2.8344200000000006,6.800773168834016
-0.3092100000000004,6.925561417824807
-0.5464000000000002,7.140337446785025
3.140620000000001,7.604689973726825
0.5348899999999998,6.800773168834016
1.7418999999999998,8.639551537770327
0.83,7.265125695775816
2.689400000000001,6.086077595303157
-0.19401,6.675984919843224
3.289240000000002,7.604689973726825
0.8420000000000001,2.0883548669178933
3.2892400000000013,7.604689973726825
2.473,9.318680093672345
3.014780000000001,7.604689973726825
3.673860000000002,7.604689973726825
3.623800000000002,6.015488102772097
3.299290000000001,5.006605415578681
3.288090000000002,9.103904064712127
3.229900000000001,8.979115815721336
2.3762000000000008,7.265125695775816
2.6515000000000004,8.979115815721336
3.530700000000002,5.516335106808932
1.9444,7.604689973726825
2.1767000000000003,7.265125695775816
2.901300000000001,5.256181913560263
2.1046000000000005,3.16782704664237
3.5271000000000017,9.318680093672345
1.88802,5.006605415578681
2.6423200000000007,7.604689973726825
0.37422,7.140337446785025
3.8493200000000014,4.032523197406629
2.623390000000001,6.675984919843224
1.53639,6.800773168834016
1.75,8.854327566730545
3.861600000000002,7.265125695775816
3.025500000000001,7.265125695775816
1.30255,7.050349666815598
2.791100000000001,1.8387783689363106
2.3946000000000005,2.0883548669178933
2.589800000000001,9.443468342663136
1.70869,6.675984919843224
